PParent,Parent,ObjectName,dist-X,dist-Y,Z
Group 12,Inner_Section,2_1 LED 4,-12.62201,206.5,18.3144
Group 12,Inner_Section,2_1 Speaker 1,-7.637848,185.5,5.067593
Group 12,Inner_Section,2_1 Speaker 2,10.23401,158.8,-3.909927
Group 13,Outer_Section_1,2_1 LED 1,33.17755,42.09998,-9.465225
Group 13,Outer_Section_1,2_1 LED 2,26.28009,70.09998,-7.76963
Group 13,Outer_Section_1,2_1 LED 3,8.157227,151.7,-2.769405
Group 13,Outer_Section_1,2_1 LED 4,-15.97552,124.4,4.511478
Group 13,Outer_Section_1,2_1 Speaker 1,-6.634888,110.9,1.519363
Group 13,Outer_Section_1,2_1 Speaker 2,17.09567,47,-5.339294
Group 13,Outer_Section_2,2_1 LED 1,34.37045,25.19995,-3.001873
Group 13,Outer_Section_2,2_1 LED 2,27.27664,131.7,-2.645075
Group 13,Outer_Section_2,2_1 LED 3,8.534424,93.09998,-1.172237
Group 13,Outer_Section_2,2_1 LED 4,-16.54114,179.9,1.400097
Group 13,Outer_Section_2,2_1 Speaker 1,-6.403839,131.7,0.2022514
Group 13,Outer_Section_2,2_1 Speaker 2,17.798,75.59998,-2.000507
Group 13,Inner_Section,2_1 LED 1,22.41631,140.4,8.492275
Group 13,Inner_Section,2_1 LED 2,-21.76335,189.5,-4.838133
Group 13,Inner_Section,2_1 LED 3,17.95097,182.8,-15.99266
Group 13,Inner_Section,2_1 LED 4,-18.38568,217.4,12.51817
Group 13,Inner_Section,2_1 Speaker 1,-8.952835,196.2,1.966335
Group 13,Inner_Section,2_1 Speaker 2,10.95525,176.7,0.05103683
Group 14,Outer_Section_1,2_1 LED 1,34.35641,68.19995,3.159142
Group 14,Outer_Section_1,2_1 LED 2,27.31226,118.7,2.248558
Group 14,Outer_Section_1,2_1 LED 3,8.606873,110.5,0.3643799
Group 14,Outer_Section_1,2_1 LED 4,-16.52634,166.6,-1.564262
Group 14,Outer_Section_1,2_1 Speaker 1,-6.735626,101.8,-0.9800491
Group 14,Outer_Section_1,2_1 Speaker 2,17.87003,27.29993,1.196991
Group 14,Outer_Section_2,2_1 LED 1,33.13388,46.89996,9.616974
Group 14,Outer_Section_2,2_1 LED 2,26.3902,77.89996,7.387085
Group 14,Outer_Section_2,2_1 LED 3,8.381592,111.8,1.989914
Group 14,Outer_Section_2,2_1 LED 4,-15.92987,163.2,-4.669861
Group 14,Outer_Section_2,2_1 Speaker 1,-6.044403,131.7,-2.124771
Group 14,Outer_Section_2,2_1 Speaker 2,17.31879,69.89996,4.564011
Group 14,Inner_Section,2_1 LED 1,17.83484,147.6,16.01655
Group 14,Inner_Section,2_1 LED 2,-18.54587,167.6,-12.37332
Group 14,Inner_Section,2_1 LED 3,22.51611,202.4,-8.428024
Group 14,Inner_Section,2_1 LED 4,-21.66614,206.5,5.031082
Group 14,Inner_Section,2_1 Speaker 1,-9.058502,185.5,-1.400623
Group 14,Inner_Section,2_1 Speaker 2,10.19708,158.8,4.005108
Group 15,Outer_Section_1,2_1 LED 1,30.89517,42.10004,15.35668
Group 15,Outer_Section_1,2_1 LED 2,24.65558,70.10004,11.96296
Group 15,Outer_Section_1,2_1 LED 3,7.894012,151.7,3.448883
Group 15,Outer_Section_1,2_1 LED 4,-14.8454,124.4,-7.428596
Group 15,Outer_Section_1,2_1 Speaker 1,-5.926849,110.9,-3.347061
Group 15,Outer_Section_1,2_1 Speaker 2,16.23093,47,7.571495
Group 15,Outer_Section_2,2_1 LED 1,27.42244,25.20001,20.93681
Group 15,Outer_Section_2,2_1 LED 2,21.93965,131.7,16.4214
Group 15,Outer_Section_2,2_1 LED 3,7.096741,93.10004,4.883286
Group 15,Outer_Section_2,2_1 LED 4,-13.16728,179.9,-10.10902
Group 15,Outer_Section_2,2_1 Speaker 1,-4.868729,131.7,-4.16478
Group 15,Outer_Section_2,2_1 Speaker 2,14.50063,75.59998,10.51202
Group 15,Inner_Section,2_1 LED 1,10.84465,140.4,21.37762
Group 15,Inner_Section,2_1 LED 2,-12.82387,189.5,-18.2373
Group 15,Inner_Section,2_1 LED 3,24.04012,182.8,0.274765
Group 15,Inner_Section,2_1 LED 4,-22.02061,217.4,-3.13533
Group 15,Inner_Section,2_1 Speaker 1,-7.940918,196.2,-4.578354
Group 15,Inner_Section,2_1 Speaker 2,8.061661,176.7,7.418205
Group 16,Outer_Section_1,2_1 LED 1,23.2614,68.19995,25.48042
Group 16,Outer_Section_1,2_1 LED 2,18.66914,118.7,20.06186
Group 16,Outer_Section_1,2_1 LED 3,6.115082,110.4999,6.067719
Group 16,Outer_Section_1,2_1 LED 4,-11.15927,166.6,-12.2897
Group 16,Outer_Section_1,2_1 Speaker 1,-4.317444,101.8,-5.262009
Group 16,Outer_Section_1,2_1 Speaker 2,12.3997,27.29999,12.92357
Group 16,Outer_Section_2,2_1 LED 1,18.00734,46.89996,29.4292
Group 16,Outer_Section_2,2_1 LED 2,14.52596,77.89996,23.23813
Group 16,Outer_Section_2,2_1 LED 3,4.853485,111.8,7.117249
Group 16,Outer_Section_2,2_1 LED 4,-8.626236,163.2,-14.18289
Group 16,Outer_Section_2,2_1 Speaker 1,-3.035416,131.7,-5.642258
Group 16,Outer_Section_2,2_1 Speaker 2,9.724014,69.89996,15.04048
Group 16,Inner_Section,2_1 LED 1,2.389816,147.6,23.85164
Group 16,Inner_Section,2_1 LED 2,-5.36972,167.6,-21.63823
Group 16,Inner_Section,2_1 LED 3,22.31754,202.4,8.940659
Group 16,Inner_Section,2_1 LED 4,-19.40091,206.5,-10.87834
Group 16,Inner_Section,2_1 Speaker 1,-5.750732,185.5,-7.137718
Group 16,Inner_Section,2_1 Speaker 2,4.837509,158.8,9.829575
Group 17,Outer_Section_1,2_1 LED 1,12.48607,42.10004,32.16269
Group 17,Outer_Section_1,2_1 LED 2,10.16129,70.10004,25.45111
Group 17,Outer_Section_1,2_1 LED 3,3.510239,151.7,7.866943
Group 17,Outer_Section_1,2_1 LED 4,-5.966263,124.4,-15.49106
Group 17,Outer_Section_1,2_1 Speaker 1,-2.125092,110.9,-6.46637
Group 17,Outer_Section_1,2_1 Speaker 2,6.89389,47,16.53012
Group 17,Outer_Section_2,2_1 LED 1,6.160355,25.20001,33.94685
Group 17,Outer_Section_2,2_1 LED 2,5.150543,131.7,26.9162
